Brand,Model,KM Driven,Km/L,Range (Electric),Gear,Price,GPS,Trailer Hitch,4WD,Parkingsensor,Cruise Control,Antispin,ESP,El-Sæder,Leather Interior,Glass Roof,Headup Display,Isofix,Klimaanlæg,Regnsensor,Soltag,Sports Package,Seatwarmer,Xenon Lights,Non-Smoker,One-Owner,Service OK,Nysynet,Demo Car,Partly Leather Interior,CVR/Engros,Full Leather,Adaptive Cruise Control,Link,Year,Fuel_Type,Horsepower
Mini,Cooper,9000.0,16.0,231.0,Automatgear,229000.0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,https://www.autouncle.dk/da/d/4722150-brugt-mini-cooper-se-classic-trim,2020,El,184.0
Nissan,Leaf,41500.0,19.0,378.0,Automatgear,149900.0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,https://www.autouncle.dk/da/d/4545480-brugt-nissan-leaf-40-tekna,2020,El,150.0
Nissan,Ariya,0.0,18.0,536.0,Automatgear,429900.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4816572-ny-nissan-ariya-evolve,2023,El,242.0
Nissan,Leaf,49120.0,17.0,270.0,Automatgear,154900.0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,https://www.autouncle.dk/da/d/4702758-brugt-nissan-leaf-el-tekna-40-kwh-150hk-5d-aut,2018,El,150.0
Nissan,Townstar,500.0,18.0,285.0,Automatgear,259900.0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,https://www.autouncle.dk/da/d/4455601-brugt-nissan-townstar-l1-el-tekna-122hk-van-aut,2022,El,122.0
Nissan,Leaf,5000.0,19.0,199.0,Automatgear,224900.0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.autouncle.dk/da/d/3109978-brugt-nissan-leaf-el-el-tekna-40-kwh-150hk-5d-aut,2020,El,150.0
Opel,Corsa-e,34000.0,16.0,337.0,Automatgear,159000.0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4688757-brugt-opel-corsa-e-el-first-edition-136hk-5d-trinl-gear,2020,El,136.0
Opel,Mokka-e,15000.0,17.0,324.0,Automatgear,209000.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4369464-brugt-opel-mokka-e-edition,2020,El,136.0
Opel,Mokka-e,5600.0,16.0,338.0,Automatgear,244000.0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,https://www.autouncle.dk/da/d/4392895-brugt-opel-mokka-e,2020,El,136.0
Opel,Combo-e,27000.0,16.0,250.0,Automatgear,199995.0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,https://www.autouncle.dk/da/d/4807556-brugt-opel-combo-e-life-50-elegance-l1,2020,El,136.0
